video_name,track_id,y_var,y_std,straightness_ratio
input_ped_2.mp4,1,103.94395325750997,10.195290739233972,2.006536711945982,0
input_ped_2.mp4,2,4.488070073183374,2.1185065667076355,1.595771357016304,0
input_ped_3.mp4,1,276.05769633279925,16.614984090657423,1.1546880450967478,0
input_ped_3.mp4,63,970.1334617798841,31.146965530848814,1.0332528124175488,0
input_ped_1.mp4,74,62.4403068422612,7.901917921761855,1.3789588217647708,0
input_ped_4.mp4,74,3742.9657077440615,61.17978185433535,1.4925811502901416,0 (curve)
input_ped_4.mp4,103,335.10288748199207,18.3058156737686,1.6104234584411687,0 (curve)
input_ped_4.mp4,104,6.755830804409803,2.5991981079574913,1.158613044881951,0
input_ped_4.mp4,106,5000.20623254486,70.7121363879275,1.1598706271778496,0
input_ped_4.mp4,109,2778.9667102456665,52.71590566656013,1.2925557115684725,0
input_pmd_5.mp4,122,3.323142237152994,1.8229487752410911,1.0043815420784323,1
input_pmd_4.mp4,131,32.376449040862155,5.690030671346347,1.0066513050115358,1
input_pmd_3.mp4,132,114.01405524257514,10.677736428783732,1.0091262429437808,1
input_pmd_2.mp4,132,11.898681288061516,3.449446519089913,1.0489431892579077,1
input_pmd_2.mp4,135,1694.277389253871,41.16160090732467,1.0232528473228568,0
input_pmd_1.mp4,138,145.75916962999725,12.07307622894833,1.0672408196585974,1
input_pmd_1.mp4,139,54.004896538724715,7.348802388057847,1.2636820397814135,1
